FIPS,St_name,Cnty_name,Pop_est,N_pop_change,Births,Deaths,Natural_inc,Internat_mig,Domestic_mig,Net_mig,Residual,GQ_estimate,R_birth,R_Death,R_natural_inc,R_internat_mig,R_domestic_mig,R_net_mig
36001,New York,Albany,305506,-1079,3024,2776,248,546,-1872,-1326,-1,17251,9.880883725,9.0705467,0.810337025,1.78404845,-6.116737544,-4.332689094
36003,New York,Allegany,46091,-241,445,460,-15,28,-254,-226,0,4223,9.629637644,9.954232172,-0.324594527,0.605909784,-5.49646733,-4.890557545
36005,New York,Bronx,1418207,-13880,19674,11145,8529,8697,-31203,-22506,97,44007,13.80489171,7.820245912,5.984645794,6.102528371,-21.89458351,-15.79205514
36007,New York,Broome,190488,-1437,1920,2113,-193,248,-1498,-1250,6,11131,10.04149964,11.05087955,-1.009379911,1.297027036,-7.834461695,-6.537434658
36009,New York,Cattaraugus,76117,-609,801,848,-47,5,-565,-560,-2,2554,10.4813436,11.09635378,-0.615010174,0.065426614,-7.393207409,-7.327780795
36011,New York,Cayuga,76576,-545,741,711,30,26,-602,-576,1,3780,9.642348257,9.251969785,0.390378472,0.338328009,-7.83359467,-7.495266661
36013,New York,Chautauqua,126903,-569,1282,1398,-116,21,-471,-450,-3,5924,10.07960688,10.99164619,-0.912039312,0.165110565,-3.703194103,-3.538083538
36015,New York,Chemung,83456,-479,859,943,-84,17,-411,-394,-1,3634,10.26339528,11.26703347,-1.003638188,0.203117252,-4.910658279,-4.707541027
36017,New York,Chenango,47207,-238,470,535,-65,-2,-169,-171,-2,718,9.931116088,11.30456831,-1.373452225,-0.042260068,-3.570975785,-3.613235853
36019,New York,Clinton,80485,-194,756,744,12,49,-253,-204,-2,6477,9.381747785,9.232831153,0.148916632,0.608076245,-3.139658981,-2.531582736
36021,New York,Columbia,59461,-324,489,676,-187,43,-178,-135,-2,1921,8.201532966,11.33790651,-3.136373547,0.721198195,-2.985425088,-2.264226892
36023,New York,Cortland,47581,-141,472,422,50,19,-210,-191,0,3789,9.905249572,8.85596466,1.049284912,0.398728267,-4.406996632,-4.008268365
36025,New York,Delaware,44135,-391,345,571,-226,19,-182,-163,-2,2268,7.782452262,12.88052244,-5.098070177,0.42859882,-4.105525541,-3.676926721
36027,New York,Dutchess,294218,279,2584,2765,-181,232,247,479,-19,19566,8.786769519,9.40225144,-0.615481921,0.788905003,0.839911792,1.628816796
36029,New York,Erie,918702,-1015,9756,9765,-9,1278,-2264,-986,-20,27188,10.61346733,10.62325835,-0.009791022,1.390325057,-2.462985859,-1.072660803
36031,New York,Essex,36885,-403,308,413,-105,4,-300,-296,-2,2081,8.304908794,11.1361277,-2.831218907,0.107855958,-8.089196878,-7.981340919
36033,New York,Franklin,50022,-257,444,524,-80,-6,-171,-177,0,6146,8.853351412,10.44854987,-1.595198453,-0.119639884,-3.409736693,-3.529376577
36035,New York,Fulton,53383,-250,517,565,-48,0,-203,-203,1,1384,9.662106601,10.55916872,-0.897062122,0,-3.793825222,-3.793825222
