FIPS,St_name,Cnty_name,Pop_est,N_pop_change,Births,Deaths,Natural_inc,Internat_mig,Domestic_mig,Net_mig,Residual,GQ_estimate,R_birth,R_Death,R_natural_inc,R_internat_mig,R_domestic_mig,R_net_mig
36001,New York,Albany County,305506,-1079,3024,2776,248,546,-1872,-1326,-1,17251,9.8808837248,9.0705466998,0.8103370251,1.7840484503,-6.116737544,-4.332689094
36003,New York,Allegany County,46091,-241,445,460,-15,28,-254,-226,0,4223,9.6296376443,9.9542321716,-0.324594527,0.6059097844,-5.49646733,-4.890557545
36005,New York,Bronx County,1418207,-13880,19674,11145,8529,8697,-31203,-22506,97,44007,13.804891706,7.8202459115,5.9846457944,6.1025283708,-21.89458351,-15.79205514
36007,New York,Broome County,190488,-1437,1920,2113,-193,248,-1498,-1250,6,11131,10.041499635,11.050879546000001,-1.009379911,1.2970270362,-7.834461695,-6.537434658
36009,New York,Cattaraugus County,76117,-609,801,848,-47,5,-565,-560,-2,2554,10.481343601,11.096353775,-0.615010174,0.0654266142,-7.393207409,-7.327780795
36011,New York,Cayuga County,76576,-545,741,711,30,26,-602,-576,1,3780,9.6423482566,9.2519697847,0.3903784719,0.338328009,-7.83359467,-7.495266661
36013,New York,Chautauqua County,126903,-569,1282,1398,-116,21,-471,-450,-3,5924,10.07960688,10.991646192,-0.912039312,0.1651105651,-3.703194103,-3.538083538
36015,New York,Chemung County,83456,-479,859,943,-84,17,-411,-394,-1,3634,10.263395284,11.267033473,-1.003638188,0.2031172524,-4.910658279,-4.707541027
36017,New York,Chenango County,47207,-238,470,535,-65,-2,-169,-171,-2,718,9.9311160884,11.304568313,-1.373452225,-0.042260068,-3.570975785,-3.613235853
36019,New York,Clinton County,80485,-194,756,744,12,49,-253,-204,-2,6477,9.3817477849,9.2328311534,0.1489166315,0.6080762453,-3.139658981,-2.531582736
36021,New York,Columbia County,59461,-324,489,676,-187,43,-178,-135,-2,1921,8.2015329655,11.337906513,-3.136373547,0.7211981953,-2.985425088,-2.264226892
36023,New York,Cortland County,47581,-141,472,422,50,19,-210,-191,0,3789,9.9052495724,8.8559646601,1.0492849123,0.3987282667,-4.406996632,-4.008268365
36025,New York,Delaware County,44135,-391,345,571,-226,19,-182,-163,-2,2268,7.782452262,12.880522439,-5.098070177,0.4285988202,-4.1055255409999996,-3.676926721
36027,New York,Dutchess County,294218,279,2584,2765,-181,232,247,479,-19,19566,8.786769519,9.4022514397,-0.615481921,0.7889050033,0.8399117923,1.6288167955
36029,New York,Erie County,918702,-1015,9756,9765,-9,1278,-2264,-986,-20,27188,10.613467333,10.623258354,-0.009791022,1.3903250565,-2.4629858590000002,-1.072660803
36031,New York,Essex County,36885,-403,308,413,-105,4,-300,-296,-2,2081,8.3049087943,11.136127701,-2.831218907,0.1078559584,-8.089196878,-7.981340919
36033,New York,Franklin County,50022,-257,444,524,-80,-6,-171,-177,0,6146,8.8533514122,10.448549865,-1.595198453,-0.119639884,-3.409736693,-3.529376577
36035,New York,Fulton County,53383,-250,517,565,-48,0,-203,-203,1,1384,9.6621066009,10.559168722,-0.897062122,0,-3.793825222,-3.793825222
36037,New York,Genesee County,57280,-207,542,630,-88,2,-120,-118,-1,1956,9.4452238013,10.978765673,-1.533541872,0.0348532244,-2.091193462,-2.056340237
36039,New York,Greene County,47188,-193,384,540,-156,20,-54,-34,-3,3048,8.1210544682,11.420232846,-3.299178378,0.4229715869,-1.142023285,-0.719051698
36041,New York,Hamilton County,4416,-16,28,63,-35,-2,20,18,1,80,6.3291139241,14.240506329,-7.911392405,-0.452079566,4.52079566,4.068716094
36043,New York,Herkimer County,61319,-394,560,659,-99,2,-297,-295,0,1383,9.1033227128,10.712660121,-1.609337408,0.0325118668,-4.828012224,-4.795500358
36045,New York,Jefferson County,109834,-2032,1913,919,994,-45,-2981,-3026,0,6023,17.257555255,8.2904826342,8.9670726207,-0.405953992,-26.89219666,-27.29815065
36047,New York,Kings County,2559903,-18171,37786,18218,19568,8203,-45945,-37742,3,35433,14.708512708,7.091507027,7.6170056814,3.1930855276,-17.88447087,-14.69138534
36049,New York,Lewis County,26296,-190,322,271,51,8,-250,-242,1,316,12.201129173,10.268652192,1.9324769808,0.303133644,-9.472926376,-9.169792732
36051,New York,Livingston County,62914,-299,478,552,-74,50,-276,-226,1,5834,7.5796617695,8.7530822108,-1.173420441,0.7928516495,-4.376541105,-3.583689456
36053,New York,Madison County,70941,-176,668,628,40,28,-242,-214,-2,4722,9.4046093849,8.8414591223,0.5631502626,0.3942051838,-3.407059089,-3.012853905
36055,New York,Monroe County,741770,-1094,7762,6693,1069,760,-2918,-2158,-5,26410,10.456449199,9.016363629,1.4400855699,1.0238213593,-3.930935167,-2.907113807
36057,New York,Montgomery County,49221,-173,613,533,80,14,-267,-253,0,911,12.432185773,10.809714546,1.6224712265,0.2839324646,-5.414997718,-5.131065254
36059,New York,Nassau County,1356924,-610,14001,11312,2689,1650,-4941,-3291,-8,20287,10.315871529,8.3346288651,1.9812426643,1.2157123079,-3.640505766,-2.424793458
36061,New York,New York County,1628706,-349,16968,12171,4797,6727,-11730,-5003,-143,68626,10.416970428,7.4720030107,2.9449674178,4.129830273,-7.201264918,-3.071434645
36063,New York,Niagara County,209281,-779,2067,2382,-315,61,-519,-458,-6,3574,9.8583253247,11.360682595,-1.50235727,0.2909326777,-2.475312455,-2.184379777
36065,New York,Oneida County,228671,-803,2482,2490,-8,263,-1058,-795,0,12976,10.834997654,10.869921095,-0.034923441,1.1481081317,-4.618625108,-3.470516976
36067,New York,Onondaga County,460528,-1121,4952,4214,738,842,-2707,-1865,6,17073,10.739803747,9.139243334,1.600560413,1.826113642,-5.870890295,-4.044776654
36069,New York,Ontario County,109777,39,979,1079,-100,42,106,148,-9,3208,8.9196638043,9.8307632736,-0.911099469,0.3826617771,0.9657654374,1.3484272145
36071,New York,Orange County,384940,2814,5043,2884,2159,145,530,675,-20,11191,13.148803362,7.5195615501,5.6292418123,0.3780639476,1.3818889118,1.7599528593
36073,New York,Orleans County,40352,-303,389,418,-29,2,-276,-274,0,2522,9.6041082869,10.320095794,-0.715987507,0.0493784488,-6.814225931,-6.764847482
